Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
Hasselt,FHS,50.930555,5.3275,Tramstraat,3221,3500,Hasselt,Belgium
Heemskerk,HK,52.4952774,4.686944485,Kadijk,47,1967,Heemskerk,Netherlands
Heemstede-Aerdenhout,HAD,52.35916519,4.606666565,Leidsevaartweg,??,2106,Heemstede,Netherlands
Heerenveen,HR,52.96138763,5.914166451,Beugel,24,8447,Heerenveen,Netherlands
Heerenveen IJsstadion,HRY,52.93527603,5.943888664,Uraniumweg,2,8445 PH,Heerenveen,Netherlands
Heerhugowaard,HWD,52.66972351,4.822777748,Stationsplein,39,1703 WD,Heerhugowaard,Netherlands
Heerlen,HRL,50.89083481,5.974999905,Spoorsingel,65,6412 AA,Heerlen,Netherlands
Heerlen De Kissel,HRLK,50.89016893,5.9933424,Mijnspoorweg,??,6416,Heerlen,Netherlands
Heerlen Woonboulevard,HRLW,50.896667,5.952222,In de Cramer,88,6412,Heerlen,Netherlands
Heeze,HZE,51.38499832,5.569444656,De Leuren,19,5591 ND,Heeze,Netherlands
Heide,MID,51.364828,4.4604308,Heidestatieplein,4,2920,Kalmthout,Belgium
Heiloo,HLO,52.59944534,4.700555325,Hoog en Laag,125,1852 AX,Heiloo,Netherlands
Heino,HNO,52.42722321,6.221111298,Stationsweg,31,8141 SK,Heino,Netherlands
Helmond,HM,51.47555542,5.661944389,Stationsplein,7,5701 PE,Helmond,Netherlands
Helmond 't Hout,HMH,51.46794,5.63085,Meester Stikkerplein,??,5707,Helmond,Netherlands
Helmond Brandevoort,HMBV,51.46222305,5.60722208,Diepenbroeksingel,??,5707,Helmond,Netherlands
Helmond Brouwhuis,HMBH,51.47068,5.70177,Deltaweg,185-447,5709,Helmond,Netherlands
Hemiksem,LKM,51.13624,4.33828,Statieplaats,2-12,2620,Hemiksem,Belgium
Hemmen-Dodewaard,HMN,51.9222129,5.6737254,Boelenhamsestraat,8,6669 MN,Dodewaard,Netherlands
Hengelo,HGL,52.26166534,6.793889046,Stationsplein,321,7551 CN,Hengelo,Netherlands
Hengelo Gezondheidspark,HGLG,52.261667,6.773611,Magdalenalaan,8-9,7555 TA,Hengelo,Netherlands
Hengelo Oost,HGLO,52.26889038,6.819444656,Zwavertsweg,114,7552 ML,Hengelo,Netherlands
Herstal,LHS,50.66076,5.62231,Rue En Gr. Foxhalle,1,4040,Herstal,Belgium
Herzogenrath,HZ,50.870916,6.094486,Bahnhofstraße,17,52134,Herzogenrath,Germany
Hillegom,HIL,52.30250168,4.565555573,2e Loosterweg,2A,2182 CJ,Hillegom,Netherlands
Hilversum,HVS,52.22583389,5.18194437,Wilhelminastraat,1,1211 RH,Hilversum,Netherlands
Hilversum Media Park,HVSM,52.23805618,5.173888683,Mies Bouwman-boulevard,??,1217,Hilversum,Netherlands
Hilversum Sportpark,HVSP,52.21611023,5.187222004,Athene,??,1213,Hilversum,Netherlands
Hindeloopen,HNP,52.9464903,5.423063,Stationsweg,??,8713,Hindeloopen,Netherlands
Hoboken-Polder,FOE,51.18285,4.34831,Berkenrodelei,2,2660,Antwerpen,Belgium
Hoek van Holland Haven,HLD,51.97527695,4.128889084,Stationsweg,1,3151 HR,Hoek van Holland,Netherlands
Hoek van Holland Strand,HLDS,51.98166656,4.119722366,Stationsweg,86,3151 HS,Hoek van Holland,Netherlands
Hoensbroek,HB,50.90555573,5.930555344,Economiestraat,1,6433 KC,Hoensbroek,Netherlands
Hoevelaken,HVL,52.16652,5.45718,Rijksweg,??,3836,Stoutenburg-Noord,Netherlands
Hollandsche Rading,HOR,52.17777634,5.179166794,Vuurse Dreef,14,3739 KT,Hollandsche Rading,Netherlands
Holten,HON,52.28388977,6.420277596,Stationsstraat,10,7451 BH,Holten,Netherlands
Holzwickede,EHZW,51.504767,7.619647,Am Bahnhof,1,59439,Holzwickede,Germany
Hoofddorp,HFD,52.29333496,4.700555325,R-Net,??,2132,Hoofddorp,Netherlands
Hoogeveen,HGV,52.73389053,6.473610878,Stationsplein,1A,7901 AA,Hoogeveen,Netherlands
Hoogezand-Sappemeer,HGZ,53.15981813,6.77075386,Stationsweg,45,9601 BJ,Hoogezand,Netherlands
Hoogkarspel,HKS,52.69055557,5.183888912,Stationslaan,14,1616 CM,Hoogkarspel,Netherlands
Hoorn,HN,52.64472198,5.055555344,Stationsplein,2R,1621 HX,Hoorn,Netherlands
Hoorn Kersenboogerd,HNK,52.65361023,5.085555553,Rijnweg,51-52,1628 PC,Hoorn,Netherlands
Hopfgarten,HOPF,47.45525,12.14921,Gewerbestraße,6110,6361,??,Austria
Horst-Sevenum,HRT,51.42638779,6.042222023,Industrieweg,20,5975 RL,Sevenum,Netherlands
Houten,HTN,52.03402,5.16821,Kopermolen,??,3995,Houten,Netherlands
Houten Castellum,HTNC,52.01701,5.17949,Castellumpad,??,3995,Houten,Netherlands
Houthem-St Gerlach,SGL,50.87333298,5.797222137,Meerssenderweg,10,6301 JH,Valkenburg,Netherlands
Hove,MHO,51.153611,4.465278,Vincent Bavaisstraat,16,2540,Hove,Belgium
Hurdegaryp,HDG,53.2187783,5.934543,Stationsweg,39,9254 HA,Hurdegaryp,Netherlands
IJlst,IJT,53.0146614,5.6160801,Zuidwesthoekweg,4,8651 JB,IJlst,Netherlands
Innsbruck Hbf,INNSB,47.26328,11.401,Hauptbahnhof Unterführung,??,6020,Innsbruck,Austria
Jenbach,JENBAC,47.38844,11.77841,Bahnhofstraße,4,6200,Jenbach,Austria
Kaldenkirchen,KN,51.327184,6.203225,Bahnhofstraße,1A,41334,Nettetal,Germany
Kalmthout,FKTH,51.3909989,4.4668202,Statieplein,8,2920,Kalmthout,Belgium
Kampen,KPN,52.5597229,5.921666622,Spoorkade,2,8267 AA,Kampen,Netherlands
Kampen Zuid,KPNZ,52.5331,5.91309,Burgemeester Van Tuinenplein,??,8265,Kampen,Netherlands
Kapelle-Biezelinge,BZL,51.48083496,3.956111193,Stationsstraat,47-49,4421 AK,Kapelle,Netherlands
Kapellen,LKP,51.31362,4.43262,Koningin Astridlaan,42,2950,Kapellen,Belgium
Karlsruhe Hbf,KARLSR,48.9936223,8.400743,Bahnhofplatz,1,76137,Karlsruhe,Germany
Kerkrade Centrum,KRD,50.86166763,6.057499886,Museumplein,2,6461 MA,Kerkrade,Netherlands
Kerkrade West,KRW,50.85355,6.02578,Plein,37,6466 GG,Kerkrade,Netherlands
Kesteren,KTR,51.9313869,5.5833465,Stationsstraat,40,4041 CJ,Kesteren,Netherlands
Kijkuit,GKT,51.37867,4.46722,Standaertlei,??,2920,Kalmthout,Belgium
Kirchberg in Tirol,KIRCHB,47.44921,12.30953,Brixentalstraße,??,6365,Kirchberg in Tirol,Austria
Kitzbühel,KITZB,47.45411,12.39104,Bahnhofplatz,2,6370,Kitzbühel,Austria
Klarenbeek,KBK,52.17805481,6.083611012,Hoofdweg,8,7382 BH,Klarenbeek,Netherlands
Klimmen-Ransdaal,KMR,50.86639023,5.890555382,Mareheiweg,2,6343 EK,Klimmen,Netherlands
Koblenz Hbf,KKO,50.351085,7.588649,Bahnhofplatz,2,56068,Koblenz,Germany
Kohlscheid,KOHL,50.831728,6.074485,Grachtstraße,19,52134,Herzogenrath,Germany
Konin,KONIN,52.23702,18.22069,Rolna,2A,??,Konin,Poland
Kontich,FKI,51.133889,4.476667,Stationsplein,6,2550,Kontich,Belgium
Koog Bloemwijk,KBW,52.45861053,4.805555344,Provincialeweg,??,1541,Koog aan de Zaan,Netherlands
Koog-Zaandijk,KZD,52.4691658,4.804999828,Kogertunnel,??,1541,Koog aan de Zaan,Netherlands
Koudum-Molkwerum,KMW,52.9028197,5.4106913,Stationswei,22,8722 HB,Molkwerum,Netherlands
Krabbendijke,KBD,51.43333435,4.116944313,Spoorlaan,7,4413 AS,Krabbendijke,Netherlands
Krommenie-Assendelft,KMA,52.49511,4.75417,Saendelverlaan,2,1561 KS,Krommenie,Netherlands
Kropswolde,KW,53.1617362,6.7220882,Woldweg,46,9607 PR,Foxhol,Netherlands
Kruiningen-Yerseke,KRG,51.46500015,4.037222385,Stationsweg,14-20,4416,Kruiningen,Netherlands
Kufstein,KUFST,47.5831,12.16568,Südtiroler Platz,4-12,6330,Kufstein,Austria
Kutno,KUTNO,52.22694,19.34859,Henryka Siemiradzkiego,9,99-320,Kutno,Poland
Köln Hbf,KOLN,50.9432158,6.9589214,Bahnsteig Gleis 6 + 7,??,50667,Köln,Germany
Köln-Deutz,KKD,50.940874,6.975001,Ottoplatz,7,50679,Köln,Germany
Lage Zwaluwe,ZLW,51.69111252,4.66305542,Westelijke Parallelweg,11,4765 SK,Zevenbergschen Hoek,Netherlands
Landeck,LAND,47.14824,10.57839,Bahnhofstraße,20,6500,Landeck,Austria
Landgraaf,LG,50.89638901,6.01916647,Stationsplein,65-66,6372,Landgraaf,Netherlands
Landquart,LANDQ,46.96722,9.5538,Gassa,??,7302,Landquart,Switzerland
Landry,LANDRY,45.57414,6.73378,Avenue de la Gare,??,73210,Landry,France
Langerwehe,LANG,50.817525,6.355194,Bahnhofsplatz,14,52379,Langerwehe,Germany
Leer (Ostfriesland),LEER,53.23165,7.465283,Reimersstraße,6,26789,Leer (Ostfriesland),Germany
Leerdam,LDM,51.89472198,5.091388702,Parallelweg,13,4143 LA,Leerdam,Netherlands
Leeuwarden,LW,53.19583511,5.792222023,Achter Het Station,1,8932,Leeuwarden,Netherlands
Leeuwarden Achter d Hoven,ADH,53.19889,5.81639,Spoorstraat,186,8933 CJ,Leeuwarden,Netherlands
Leeuwarden Camminghaburen,LWC,53.2021808,5.8422968,Orionweg,45,8938,Leeuwarden,Netherlands
Legden,ELGD,52.034924,7.088538,Bahnhofstraße,19,48739,Legden,Germany
Leiden Centraal,LEDN,52.16611099,4.481666565,Stationsplein,3J,2312 AJ,Leiden,Netherlands
Leiden Lammenschans,LDL,52.14694595,4.492499828,Kamerlingh Onnesplein,4,2313 VL,Leiden,Netherlands
Lelystad Centrum,LLS,52.50777817,5.472777843,Stationsplein,5,8232 DL,Lelystad,Netherlands
Lette (Kr Coersfeld),ELET,51.8925,7.187,Bahnhofsallee,47,48653,Coesfeld,Germany
Leuven,LEUVEN,50.88136,4.71568,Martelarenplein,16,3000,Leuven,Belgium
Lichtenvoorde-Groenlo,LTV,52.01188,6.59641,Stationsstraat,16,7137 MX,Lievelde,Netherlands
Liers,LSL,50.69822,5.56848,Rue Provinciale,140-144,4042,Herstal,Belgium
Lille Europe,LILLEE,50.639444,3.074722,Avenue le Corbusier,1,59800,Lille,France
Limburg Süd,FLB,50.382498,8.096112,Londoner Straße,5,65552,Limburg an der Lahn,Germany
Livorno Centrale,LIVOR,43.56446,10.33529,Viale Magri Nicola Padre,39,57121,Livorno,Italy
Liège-Guillemins,LUIK,50.62436,5.56648,Avenue de l'Observatoire,124,4000,Liège,Belgium
Liège-Jonfosse,LUIKJ,50.64051,5.56197,Rue Pouplin,6-8,4000,Liège,Belgium
Liège-Palais,LUIKP,50.64648,5.57072,Rue Fond Servais,8,4000,Liège,Belgium
Lochem,LC,52.16666794,6.426388741,Stationsplein,1,7241 CV,Lochem,Netherlands
Lokeren,FLK,51.107777,3.9875,Stationsplein,15-27,9160,Lokeren,Belgium
London St. Pancras,LONDS,51.53239,0.12716,Gale Street,??,RM9 4UN,??,United Kingdom
Loppersum,LP,53.3347145,6.7472625,Stationslaan,10,9919 AB,Loppersum,Netherlands
Lunteren,LTN,52.08527756,5.624444485,Spoorstraat,4,6741 DE,Lunteren,Netherlands
Lüdinghausen,ELDH,51.76184,7.43165,Industriestraße,2,59348,Lüdinghausen,Germany
Lünen Hbf,ELUE,51.61713,7.52949,Münsterstraße,50,44534,Lünen,Germany
Maarheeze,MZ,51.30376236,5.63034296,Den Engelsman,6,6026 RB,Maarheeze,Netherlands
Maarn,MRN,52.06416702,5.369999886,Rijksweg,??,3951,Maarn,Netherlands
Maarssen,MAS,52.13527679,5.033611298,Safariweg,34-36,3605,Maarssen,Netherlands
Maassluis,MSS,51.91611099,4.254722118,Prinses Beatrixlaan,12,3143 LA,Maassluis,Netherlands
Maassluis West,MSW,51.92583466,4.236111164,Koningshoek,??,3144,Maassluis,Netherlands
Maastricht,MT,50.85027695,5.705555439,Stationsplein,29,6221 BT,Maastricht,Netherlands
Maastricht Noord,MTN,50.87087,5.71774,Mariënwaard,44,6222 AN,Maastricht,Netherlands
Maastricht Randwyck,MTR,50.8386116,5.717222214,Universiteitssingel,30,6229 ER,Maastricht,Netherlands
Mainz Hbf,FMZ,50.001117,8.25872,Bahnhofplatz,1,55116,Mainz,Germany
Mannheim Hbf,MANNHE,49.479354,8.468921,Tunnelstraße,??,68163,Mannheim,Germany
Mantgum,MG,53.1296368,5.7131996,Tsjeintgum,??,9022,Mantgum,Netherlands
Mariënberg,MRB,52.50944519,6.575277805,Stationsweg,2,7692 AC,Mariënberg,Netherlands
Marne-la-Vallée-Chessy,MARNE,48.86826,2.78218,Rue Morris,1,77700,Chessy,France
Marseille-St-Charles,MARS,43.30381,5.38195,Avenue Pierre Sémard,2,13001,Marseille,France
Martenshoek,MTH,53.1607232,6.7402989,Spoorstraat-Zuid,36,9602 AA,Hoogezand,Netherlands
Mechelen,MECH,51.01786,4.48306,Koning Albertplein,30,2800,Mechelen,Belgium
Mechelen-Nekkerspoel,LNK,51.03,4.49,Nekkerspoelstraat,2,2800,Mechelen,Belgium
Meerssen,MES,50.88287939,5.750999451,Stationsplein,4,6231 CN,Meerssen,Netherlands
Melsele,LM,51.210556,4.286667,Beekmolenstraat,1,9120,Beveren,Belgium
Meppel,MP,52.69083405,6.197500229,Leonard Springerlaan,4,7941 GW,Meppel,Netherlands
Metelen Land,EMTE,52.162444,7.254423,Naendorf,74,48629,Metelen,Germany
Middelburg,MDB,51.49472046,3.617222309,Segeerssingel,64,4337 LH,Middelburg,Netherlands
Milmort,BLTM,50.69301,5.59983,Rue de l'Escousset,38,4041,Herstal,Belgium
Minden (Westf.),MINDEN,52.290138,8.934728,Viktoriastraße,??,32423,Minden,Germany
Montabaur,KMB,50.444834,7.825333,Bahnallee,2,56410,Montabaur,Germany
Mook Molenhoek,MMLH,51.77158,5.88145,Lierdwarsweg,??,6584,Molenhoek,Netherlands
Mortsel-Deurnesteenweg,GMD,51.1825,4.447222,Deurnestraat,201,2640,Mortsel,Belgium
Mortsel-Oude God,GMOG,51.171111,4.455833,stadsplein,??,2640,Mortsel,Belgium
Moutiers-Salins-Brides,MOUT,45.48664,6.53105,Avenue des Xvième Jeux Olympiques,249,73600,Moûtiers,France
Mönchengladbach Hbf,MCGB,51.196583,6.446111,Europaplatz,1,41061,Mönchengladbach,Germany
München Hbf,MUNCHH,48.14020334,11.55834675,Bahnhofplatz,2,80335,München,Germany
Münster (Westf.) Hbf,MUNST,51.956892,7.635895,Berliner Platz,23,48143,Münster,Germany
Münster Zentrum Nord,ENHF,51.984987,7.63861,Im Hagenfeld,101,48147,Münster,Germany
Münster-Häger,ENBE,52.022327,7.562668,Plantstaken,30,48161,Münster,Germany
Naarden-Bussum,NDB,52.28027725,5.156944275,Parallelweg,11,1405 AE,Bussum,Netherlands
Neuss Hbf,NEUSS,51.20444,6.68468,Further Straße,2,41462,Neuss,Germany
Niel,LNI,51.11154,4.33845,Stationsstraat,143,2845,Niel,Belgium
Nieuw Amsterdam,NA,52.71861267,6.848610878,Veilingstraat,41,7844 NX,Veenoord,Netherlands
Nieuw Vennep,NVP,52.25888824,4.645555496,Venneperweg,301,2153 MA,Nieuw-Vennep,Netherlands
Nieuwerkerk a/d IJssel,NWK,51.96527863,4.616944313,Oranjepad,2,2911 AP,Nieuwerkerk aan Den IJssel,Netherlands
Nieuwkerken-Waas,FNU,51.185556,4.185832,Heihoekstraat,7,9100,Sint-Niklaas,Belgium
Nijkerk,NKK,52.22222137,5.493888855,Willem Alexanderplein,16,3862 CE,Nijkerk,Netherlands
Nijmegen,NM,51.84361267,5.852222443,Tunnelweg,??,??,Nijmegen,Netherlands
Nijmegen Dukenburg,NMD,51.82416534,5.795555592,Zwanenveld,8132-8204,6538,Nijmegen,Netherlands
Nijmegen Goffert,NMGO,51.8273,5.822722,Mulderspad,??,6534,Nijmegen,Netherlands
Nijmegen Heyendaal,NMH,51.82694626,5.867499828,Verlengde Groenestraat,21,6525 EG,Nijmegen,Netherlands
Nijmegen Lent,NML,51.861811,5.859686,Snelbinder,??,6663,Nijmegen,Netherlands
Nijverdal,NVD,52.36555,6.471111,N35,??,7443,Nijverdal,Netherlands
Noorderkempen,NDKP,51.3573,4.63273,??,??,2960,Brecht,Belgium
Nordwalde,ENOW,52.077618,7.461706,Am Bahnhof,12,48356,Nordwalde,Germany
Nunspeet,NS,52.37083435,5.785277843,Plesmanlaan,3,8072 PT,Nunspeet,Netherlands
Nuth,NH,50.91944504,5.89277792,Stationsplein,1,6361 BG,Nuth,Netherlands
Nürnberg Hbf,NURNB,49.4449634,11.0826087,Hinterm Bahnhof,22,90459,Nürnberg,Germany
Obdam,OBD,52.67805481,4.907222271,Stationsweg,3,1713 HM,Obdam,Netherlands
Oberhausen Hbf,OBERH,51.47512,6.852038,Willy-Brandt-Platz,1A,46045,Oberhausen,Germany
Ochtrup,EOP,52.201703,7.182643,Am Bahnhof,4,48607,Ochtrup,Germany
Offenburg,RO,48.476475,7.946723,Rammersweierstraße,32,77654,Offenburg,Germany
Oisterwijk,OT,51.58222198,5.19416666,Spoorlaan,52A,5061 HB,Oisterwijk,Netherlands
Oldenzaal,ODZ,52.30638885,6.934722424,Stationsstraat,12,7573 AT,Oldenzaal,Netherlands
Olst,OST,52.33472061,6.113055706,Stationsweg,34,8121 CL,Olst,Netherlands
Ommen,OMN,52.50944519,6.415833473,Wolfskuilstraat,22,7731 AT,Ommen,Netherlands
Oosterbeek,OTB,51.99499893,5.840000153,Johannahoeveweg,4,6861 WH,Oosterbeek,Netherlands
Opheusden,OP,51.9261615,5.6371145,Parallelweg,6,6669 MJ,Dodewaard,Netherlands
Osnabrück Hbf,OSNH,52.272851,8.061781,Hamburger Straße,5,49084,Osnabrück,Germany
Oss,O,51.76555634,5.532222271,Spoorlaan,70,5348 KC,Oss,Netherlands
Oss West,OW,51.75805664,5.50555563,Van Schaikstraat,??,5344,Oss,Netherlands
Oudenbosch,ODB,51.58777618,4.533333302,Stationsstraat,9,4731 GM,Oudenbosch,Netherlands
Overveen,OVN,52.39110947,4.60611105,Tetterodeweg,3B,2051 EE,Overveen,Netherlands
Paris-Nord,PARIS,48.87977,2.35575,Rue de Dunkerque,19,75010,Paris,France
Plochingen,TP,48.71308,9.41081,Bahnhof,1,73207,Plochingen,Germany
Poznan Gl.,POZN,52.40199,16.91087,Peron 5,??,60-101,Poznań,Poland
Praha hl.n.,PRAHA,50.08306,14.435,Wilsonova,8,110 00,Prague,Czech Republic
Praha-Holesovice,PRAHOL,50.1102,14.44,Partyzánská,24,170 00,Prague,Czech Republic
Preussen,EPRN,51.58833,7.53933,Bebelstraße,203,44532,Lünen,Germany
Purmerend,PMR,52.50305557,4.953610897,Beatrixplein,89,1441 JR,Purmerend,Netherlands
Purmerend Overwhere,PMO,52.51139069,4.968333244,Boeierstraat,42,1443 EN,Purmerend,Netherlands
Purmerend Weidevenne,PMW,52.49659063,4.935629368,Purmerland,12,1448 MD,Purmerend,Netherlands
Putten,PT,52.26499939,5.575277805,Stationsstraat,127,3881 AC,Putten,Netherlands
Puurs,FRP,51.07716,4.28273,Stationsstraat,35-45,2870,Puurs,Belgium
Raalte,RAT,52.39166641,6.277500153,Stationsstraat,1,8102 EB,Raalte,Netherlands
Rathenow,LRW,52.599444,12.354721,Dunckerplatz,21A,14712,Rathenow,Germany
Ravenstein,RVS,51.79416656,5.635833263,Stationssingel,123,5371 BB,Ravenstein,Netherlands
Reuver,RV,51.28321917,6.078958511,Wilhelminalaan,78A,5953 HB,Reuver,Netherlands
Rheden,RH,52.00999832,6.030555725,Groenestraat,5A,6991 GA,Rheden,Netherlands
Rheine,RHEINE,52.276299,7.434255,Bahnhofstraße,32,48431,Rheine,Germany
Rhenen,RHN,51.95861053,5.578333378,Lijnweg,??,3911,Rhenen,Netherlands
Rijssen,RSN,52.31222153,6.520277977,Stationsdwarsweg,7,7461 AR,Rijssen,Netherlands
Rijswijk,RSW,52.03972244,4.31916666,Hoogkamerlaan,110,2284 GN,Rijswijk,Netherlands
Rilland-Bath,RB,51.42277908,4.161110878,Haltestraat,47,4411 NE,Rilland,Netherlands
Roermond,RM,51.1930542,5.994166851,Stationsplein,8,6041 GN,Roermond,Netherlands
Roodeschool,RD,53.4192128,6.7606167,Stationsstraat,2,9983 ST,Roodeschool,Netherlands
Roosendaal,RSD,51.54027939,4.458333492,Stationsplein,1A,4702 VX,Roosendaal,Netherlands
Rosendahl-Holtwick,EHW,51.99946726,7.121500969,Ringstraße,50,48720,Rosendahl,Germany
Rosmalen,RS,51.71472168,5.368055344,Vendelierstraat,15,5241 TT,Rosmalen,Netherlands
Rotterdam Alexander,RTA,51.95194626,4.553611279,Station,??,3068,Rotterdam,Netherlands
Rotterdam Blaak,RTB,51.92027664,4.488888741,Kolk,172,3011 MD,Rotterdam,Netherlands
Rotterdam Centraal,RTD,51.92499924,4.46888876,Provenierstunnel,??,3013,Rotterdam,Netherlands
Rotterdam Lombardijen,RLB,51.88000107,4.53138876,Spinozaweg,??,??,Rotterdam,Netherlands
Rotterdam Noord,RTN,51.9422226,4.481666565,Bergweg,8,3036 BA,Rotterdam,Netherlands
Rotterdam Stadion,RTST,51.89389038,4.519721985,Olympiaweg,49,3077 AL,Rotterdam,Netherlands
Rotterdam Zuid,RTZ,51.90444565,4.510277748,Rosestraat,1087,3071 AL,Rotterdam,Netherlands
Ruisbroek-Sauvegarde,FSV,51.08115,4.32551,Achterhoefweg,59,2870,Puurs,Belgium
Ruurlo,RL,52.0810888,6.4492656,Vordenseweg,??,7261,Ruurlo,Netherlands
Rzepin,RZEPIN,52.35022,14.81507,??,??,??,Rzepin,Poland
Saalfelden,SAALF,47.42684,12.82942,Bahnhofstraße,71,5760,Saalfelden am Steinernen Meer,Austria
Santpoort Noord,SPTN,52.43388748,4.632500172,Santpoortse Dreef,1,2071 TP,Santpoort-Noord,Netherlands
Santpoort Zuid,SPTZ,52.41972351,4.631388664,Willem de Zwijgerlaan,59,2082 BB,Santpoort-Zuid,Netherlands
Sappemeer Oost,SPM,53.1589183,6.7955648,Borgercompagniesterstraat,72,9611 KC,Sappemeer,Netherlands
Sassenheim,SSH,52.215278,4.517222,Stationsplein,??,2361,Warmond,Netherlands
Sauwerd,SWD,53.29113,6.5404,Stationsstraat,35-37,9771,Sauwerd,Netherlands
Schagen,SGN,52.7844429,4.805277824,Spoorlaan,1,1741 EN,Schagen,Netherlands
Scheemda,SDA,53.1655362,6.9777775,Stationsstraat,85,9679 EC,Scheemda,Netherlands
Schelle,SCHLL,51.12555,4.34023,Steenwinkelstraat,5-11,2627,Schelle,Belgium
Schiedam Centrum,SDM,51.92124381,4.408993721,Brandersbrug,??,3112,Schiedam,Netherlands
Schiedam Nieuwland,NWL,51.92222214,4.382222176,Bijdorpplein,1,3118 JE,Schiedam,Netherlands
Schin op Geul,SOG,50.85638809,5.872222424,Baanweg,3,6305,Schin op Geul,Netherlands
Schinnen,SN,50.93916702,5.874444485,Borgerweg,2,6365 CW,Schinnen,Netherlands
Schiphol Airport,SHL,52.30944443,4.761944294,Aankomstpassage,29,1118 AX,Schiphol,Netherlands
Schwarzach-St. Veit,SCHWAR,47.31853,13.15446,Bahnhofstraße,24,5620,Schwarzach im Pongau,Austria
Schwelm,KSWE,51.290526,7.289681,Bahnhofplatz,2,58332,Schwelm,Germany
Schwerte (Ruhr),ESRT,51.442281,7.55896,Bahnhofstraße,35,58239,Schwerte,Germany
Selm,ESEM,51.707885,7.453396,Ladestraße,1,59379,Selm,Germany
Selm-Beifang,ESEB,51.692947,7.454829,Beifanger Weg,76,59379,Selm,Germany
Siegburg/Bonn,KSB,50.7939411,7.2030017,Europaplatz,3,53721,Siegburg,Germany
Simpelveld,SPV,50.83147507,5.979738235,Gaasstraat,3A,6369 VA,Simpelveld,Netherlands
Sinaai,LSW,51.143333,4.068889,Schrijberg,17-103,9111,Sint-Niklaas,Belgium
Sint-Katelijne-Waver,FWA,51.07,4.496111,Stationsplein,3,2860,Sint-Katelijne-Waver,Belgium
Sint-Niklaas,FSN,51.171944,4.144167,Noordlaan,32,9100,Sint-Niklaas,Belgium
Sittard,STD,51.00166702,5.858611107,Stationsplein,2,6131 AS,Sittard,Netherlands
Sliedrecht,SDT,51.82972336,4.778333187,Parallelweg,3,3364 AK,Sliedrecht,Netherlands
Sliedrecht Baanhoek,SDTB,51.829722,4.743333,Intermezzo,??,3364,Sliedrecht,Netherlands
Sneek,SK,53.0328688,5.6523969,Doctor Boumaweg,11-15,8601,Sneek,Netherlands
Sneek Noord,SKND,53.0409319,5.6631808,Worp Tjaardastraat,22,8602 XE,Sneek,Netherlands
Soest,ST,52.17333221,5.309999943,Stationsweg,16,3764 CJ,Soest,Netherlands
Soest Zuid,STZ,52.16527939,5.303055763,Eikenlaan,44,3768 ET,Soest,Netherlands
Soestdijk,SD,52.18361282,5.300000191,Het Oude Raadhuis,75,3761 AW,Soest,Netherlands
Spaubeek,SBK,50.9430542,5.851666451,Oliemolenderweg,??,6176,Spaubeek,Netherlands
Spekholzerheide,SPH,50.85355,6.02578,Plein,37,6466 GG,Kerkrade,Netherlands
St-Mariaburg,MARIA,51.29126,4.43495,Schriek,218,2950,Antwerpen,Belgium
St. Johann im Pongau,STJOHP,47.34811,13.19486,Gerbergasse,??,5600,Sankt Johann im Pongau,Austria
St. Johann in Tirol,STJOH,47.51962,12.43079,Bahnhofstraße,24,6380,Sankt Johann in Tirol,Austria
Stavoren,STV,52.8865535,5.3600212,Stationsweg,19,8715 ES,Stavoren,Netherlands
Stedum,STM,53.3262092,6.6875551,Stationsstraat,2,9921 PX,Stedum,Netherlands
Steenwijk,SWK,52.79151099,6.114555763,Stationsplein,10,8331 GM,Steenwijk,Netherlands
Steinfurt-Borghorst,EBGO,52.118791,7.397581,Am Bahnhof,9-17,48565,Steinfurt,Germany
Steinfurt-Burgsteinfurt,EBFT,52.147384,7.32934,Bahnhofsplatz,6,48565,Steinfurt,Germany
Steinfurt-Grottenkamp,EGRK,52.123439,7.376031,Fichtenweg,11,48565,Steinfurt,Germany
Stendal,LS,52.594723,11.854412,Bahnhofstraße,32,39576,Stendal,Germany
Stolberg Altstadt,STOLA,50.763938,6.230287,Brauereistraße,8,52222,Stolberg (Rheinland),Germany
Stolberg GBF,STOLGB,0,0,??,,,,
Stolberg Hbf,STOLB,50.794917,6.218432,Rhenaniastraße,4,52222,Stolberg (Rheinland),Germany
Stolberg Mühlener Bahnhof,STOLMB,50.773589,6.223898,Talbahnstraße,1,52222,Stolberg (Rheinland),Germany
Stolberg Rathaus,STOLR,50.768774,6.229604,Europastraße,??,52222,Stolberg (Rheinland),Germany
Stolberg Schneidemuhle,STOLSM,50.784904,6.219012,Eisenbahnstraße,998,52222,Stolberg (Rheinland),Germany
Stuttgart Hbf,TS,48.784084,9.181635,Bahnsteig Gleis 5 + 6,??,70173,Stuttgart,Germany
Susteren,SRN,51.06138992,5.863055706,Spoorstraat,60,6114 EM,Susteren,Netherlands
Swalmen,SM,51.23582,6.03228,A73,??,6071,Swalmen,Netherlands
Tantow,WTA,53.26928,14.34793,Bahnhofstraße,1,16307,Tantow,Germany
Tegelen,TG,51.33894,6.14253,Steenweg,53,5932 AC,Tegelen,Netherlands
Terborg,TBG,51.9224549,6.3642466,Stationsweg,25,7061 CT,Terborg,Netherlands
Tiel,TL,51.88944626,5.422222137,Spoorstraat,5,4001 CN,Tiel,Netherlands
